 i	r	q	dt	tïð	n	m	Nêàí.	tí.î	tîáñ	tê.î
 589	0.390	0.313	0.016	9.786	4	5	--	--	0.194	--
 590	0.701	0.933	0.006	9.792	4	5	--	--	0.012	--
 591	0.504	0.582	0.011	9.804	4	5	--	--	0.090	--
 592	0.789	0.926	0.004	9.808	4	5	--	--	0.013	--
 593	0.653	0.054	0.007	9.815	4	5	--	--	0.485	--
 594	0.004	0.586	0.093	9.908	4	2	1	9.987	0.089	10.076
 595	0.332	0.551	0.018	9.926	4	3	5	10.043	0.099	10.143
 596	0.095	0.541	0.039	9.965	4	2	4	10.068	0.102	10.171
 597	0.386	0.729	0.016	9.981	4	3	1	10.076	0.053	10.128
 598	0.798	0.766	0.004	9.985	4	4	2	10.081	0.044	10.125
 599	0.124	0.123	0.035	10.020	4	4	2	10.125	0.349	10.474
 600	0.724	0.330	0.005	10.025	4	5	--	--	0.185	--
 601	0.911	0.327	0.002	10.027	4	5	--	--	0.186	--
 602	0.722	0.615	0.005	10.032	4	5	--	--	0.081	--
 603	0.668	0.025	0.007	10.039	4	5	--	--	0.614	--
 604	0.694	0.141	0.006	10.045	4	4	1	10.128	0.326	10.454
 605	0.518	0.735	0.011	10.056	4	5	--	--	0.051	--
 606	0.354	0.686	0.017	10.073	4	4	5	10.143	0.063	10.205
 607	0.386	0.459	0.016	10.089	4	3	4	10.171	0.130	10.301
 608	0.791	0.306	0.004	10.093	4	4	5	10.205	0.197	10.403
 609	0.214	0.646	0.026	10.119	4	5	--	--	0.073	--
 610	0.098	0.346	0.039	10.157	4	2	4	10.301	0.177	10.478
 611	0.280	0.492	0.021	10.179	4	2	5	10.403	0.118	10.521
 612	0.841	0.596	0.003	10.182	4	3	1	10.454	0.086	10.541
 613	0.507	0.310	0.011	10.193	4	4	2	10.474	0.195	10.669
 614	0.961	0.634	0.001	10.194	4	5	--	--	0.076	--
 615	0.253	0.131	0.023	10.216	4	4	4	10.478	0.339	10.816
 616	0.890	0.135	0.002	10.218	4	5	--	--	0.333	--
 617	0.512	0.434	0.011	10.230	4	5	--	--	0.139	--
 618	0.348	0.703	0.018	10.247	4	5	--	--	0.059	--
 619	0.323	0.603	0.019	10.266	4	5	--	--	0.084	--
 620	0.668	0.671	0.007	10.273	4	5	--	--	0.066	--
 621	0.166	0.984	0.030	10.303	4	4	5	10.521	0.003	10.524
 622	0.558	0.523	0.010	10.312	4	5	--	--	0.108	--
 623	0.777	0.887	0.004	10.317	4	5	--	--	0.020	--
 624	0.271	0.115	0.022	10.338	4	5	--	--	0.361	--
 625	0.819	0.197	0.003	10.342	4	5	--	--	0.271	--
 626	0.119	0.985	0.035	10.377	4	5	--	--	0.002	--
 627	0.779	0.013	0.004	10.381	4	5	--	--	0.718	--
 628	0.449	0.752	0.013	10.395	4	5	--	--	0.047	--
 629	0.001	0.561	0.120	10.514	4	1	5	10.524	0.096	10.620
 630	0.631	0.074	0.008	10.522	4	1	1	10.541	0.434	10.974
 631	0.481	0.180	0.012	10.534	4	1	5	10.620	0.286	10.906
 632	0.405	0.042	0.015	10.549	4	1	2	10.669	0.527	11.196
 633	0.625	0.060	0.008	10.557	4	2	4	10.816	0.469	11.285
 634	0.261	0.260	0.022	10.579	4	3	5	10.906	0.224	11.130
 635	0.150	0.196	0.032	10.611	4	4	1	10.974	0.272	11.246
 636	0.531	0.392	0.011	10.622	4	4	5	11.130	0.156	11.286
 637	0.430	0.463	0.014	10.636	4	5	--	--	0.128	--
 638	0.555	0.769	0.010	10.645	4	5	--	--	0.044	--
 639	0.360	0.301	0.017	10.662	4	5	--	--	0.200	--
 640	0.964	0.832	0.001	10.663	4	5	--	--	0.031	--
 641	0.927	0.926	0.001	10.664	4	5	--	--	0.013	--
 642	0.721	0.884	0.005	10.670	4	4	2	11.196	0.021	11.217
 643	0.769	0.884	0.004	10.674	4	5	--	--	0.021	--
 644	0.381	0.986	0.016	10.690	4	5	--	--	0.002	--
 645	0.634	0.708	0.008	10.698	4	5	--	--	0.058	--
 646	0.042	0.936	0.053	10.751	4	5	--	--	0.011	--
 647	0.512	0.130	0.011	10.762	4	5	--	--	0.339	--
 648	0.940	0.251	0.001	10.763	4	5	--	--	0.231	--
 649	0.893	0.263	0.002	10.765	4	5	--	--	0.223	--
 650	0.563	0.144	0.010	10.775	4	5	--	--	0.323	--
 651	0.748	0.138	0.005	10.779	4	5	--	--	0.330	--
 652	0.764	0.577	0.004	10.784	4	5	--	--	0.092	--
 653	0.027	0.504	0.060	10.844	4	4	2	11.217	0.114	11.331
 654	0.729	0.953	0.005	10.849	4	5	--	--	0.008	--
 655	0.390	0.519	0.016	10.865	4	5	--	--	0.109	--
 656	0.883	0.783	0.002	10.867	4	5	--	--	0.041	--
 657	0.146	0.513	0.032	10.899	4	5	--	--	0.111	--
 658	0.109	0.031	0.037	10.936	4	4	1	11.246	0.577	11.823
 659	0.542	0.037	0.010	10.946	4	5	--	--	0.550	--
 660	0.041	0.776	0.053	10.999	4	4	4	11.285	0.042	11.327
 661	0.355	0.474	0.017	11.017	4	5	--	--	0.124	--
 662	0.882	0.584	0.002	11.019	4	5	--	--	0.090	--
 663	0.684	0.291	0.006	11.025	4	5	--	--	0.206	--
 664	0.262	0.618	0.022	11.047	4	5	--	--	0.080	--
 665	0.672	0.127	0.007	11.054	4	5	--	--	0.344	--
 666	0.216	0.134	0.026	11.080	4	5	--	--	0.335	--
 667	0.136	0.994	0.033	11.113	4	5	--	--	0.001	--
 668	0.598	0.816	0.009	11.121	4	5	--	--	0.034	--
 669	0.417	0.500	0.015	11.136	4	4	5	11.286	0.116	11.402
 670	0.230	0.433	0.024	11.161	4	5	--	--	0.139	--
 671	0.820	0.870	0.003	11.164	4	5	--	--	0.023	--
 672	0.954	0.764	0.001	11.165	4	5	--	--	0.045	--
 673	0.360	0.225	0.017	11.182	4	5	--	--	0.248	--
 674	0.662	0.656	0.007	11.189	4	5	--	--	0.070	--
 675	0.868	0.699	0.002	11.191	4	5	--	--	0.060	--
 676	0.396	0.727	0.015	11.206	4	4	4	11.327	0.053	11.381
 677	0.416	0.200	0.015	11.221	4	4	2	11.331	0.269	11.600
 678	0.921	0.528	0.001	11.222	4	5	--	--	0.106	--
 679	0.094	0.540	0.039	11.262	4	4	4	11.381	0.103	11.483
 680	0.858	0.285	0.003	11.264	4	5	--	--	0.209	--
 681	0.156	0.885	0.031	11.295	4	3	5	11.402	0.020	11.422
 682	0.671	0.561	0.007	11.302	4	4	5	11.422	0.096	11.519
 683	0.869	0.682	0.002	11.304	4	5	--	--	0.064	--
 684	0.644	0.636	0.007	11.311	4	5	--	--	0.075	--
 685	0.928	0.022	0.001	11.313	4	5	--	--	0.638	--
 686	0.604	0.026	0.008	11.321	4	5	--	--	0.611	--
 687	0.424	0.318	0.014	11.335	4	3	4	11.483	0.191	11.674
 688	0.634	0.666	0.008	11.343	4	4	5	11.519	0.068	11.587
 689	0.854	0.045	0.003	11.346	4	5	--	--	0.518	--
 690	0.556	0.845	0.010	11.355	4	5	--	--	0.028	--
 691	0.124	0.510	0.035	11.390	4	4	5	11.587	0.112	11.699
 692	0.603	0.195	0.008	11.399	4	5	--	--	0.273	--
 693	0.503	0.970	0.011	11.410	4	4	2	11.600	0.005	11.605
 694	0.634	0.044	0.008	11.418	4	5	--	--	0.519	--
 695	0.727	0.457	0.005	11.423	4	4	2	11.605	0.130	11.735
 696	0.562	0.300	0.010	11.433	4	5	--	--	0.201	--
 697	0.502	0.046	0.011	11.444	4	5	--	--	0.512	--
 698	0.489	0.927	0.012	11.456	4	5	--	--	0.013	--
 699	0.171	0.598	0.029	11.485	4	4	4	11.674	0.086	11.760
 700	0.512	0.129	0.011	11.497	4	5	--	--	0.341	--
 701	0.884	0.949	0.002	11.499	4	5	--	--	0.009	--
 702	0.410	0.623	0.015	11.514	4	5	--	--	0.079	--
 703	0.924	0.584	0.001	11.515	4	5	--	--	0.090	--
 704	0.537	0.102	0.010	11.525	4	4	5	11.699	0.380	12.079
 705	0.439	0.790	0.014	11.539	4	5	--	--	0.039	--
 706	0.393	0.173	0.016	11.555	4	5	--	--	0.292	--
 707	0.412	0.654	0.015	11.569	4	5	--	--	0.071	--
 708	0.634	0.915	0.008	11.577	4	5	--	--	0.015	--
 709	0.859	0.738	0.003	11.579	4	5	--	--	0.051	--
 710	0.826	0.802	0.003	11.583	4	5	--	--	0.037	--
 711	0.573	0.441	0.009	11.592	4	4	2	11.735	0.136	11.872
 712	0.177	0.247	0.029	11.621	4	3	4	11.760	0.233	11.993
 713	0.954	0.521	0.001	11.622	4	4	1	11.823	0.109	11.932
 714	0.966	0.536	0.001	11.622	4	5	--	--	0.104	--
 715	0.057	0.742	0.048	11.670	4	5	--	--	0.050	--
 716	0.439	0.579	0.014	11.684	4	4	2	11.872	0.091	11.963
 717	0.728	0.591	0.005	11.689	4	5	--	--	0.088	--
 718	0.854	0.827	0.003	11.691	4	5	--	--	0.032	--
 719	0.115	0.276	0.036	11.728	4	4	1	11.932	0.214	12.146
 720	0.063	0.031	0.046	11.774	4	3	2	11.963	0.579	12.542
 721	0.574	0.242	0.009	11.783	4	4	4	11.993	0.236	12.230
 722	0.822	0.327	0.003	11.786	4	5	--	--	0.186	--
 723	0.689	0.978	0.006	11.792	4	5	--	--	0.004	--
 724	0.899	0.623	0.002	11.794	4	5	--	--	0.079	--
 725	0.407	0.454	0.015	11.809	4	5	--	--	0.132	--
 726	0.255	0.486	0.023	11.832	4	4	5	12.079	0.120	12.199
 727	0.760	0.839	0.005	11.836	4	5	--	--	0.029	--
 728	0.103	0.864	0.038	11.874	4	4	1	12.146	0.024	12.171
 729	0.971	0.745	0.000	11.875	4	5	--	--	0.049	--
 730	0.761	0.112	0.005	11.879	4	5	--	--	0.364	--
 731	0.458	0.842	0.013	11.892	4	5	--	--	0.029	--
 732	0.916	0.080	0.001	11.894	4	5	--	--	0.421	--
 733	0.145	0.817	0.032	11.926	4	5	--	--	0.034	--
 734	0.406	0.565	0.015	11.941	4	4	1	12.171	0.095	12.266
 735	0.987	0.013	0.000	11.941	4	5	--	--	0.726	--
 736	0.019	0.381	0.066	12.008	4	3	5	12.199	0.161	12.360
 737	0.497	0.272	0.012	12.019	4	4	4	12.230	0.217	12.447
 738	0.167	0.729	0.030	12.049	4	5	--	--	0.053	--
 739	0.891	0.122	0.002	12.051	4	5	--	--	0.350	--
 740	0.873	0.682	0.002	12.053	4	5	--	--	0.064	--
 741	0.877	0.184	0.002	12.055	4	5	--	--	0.282	--
 742	0.262	0.427	0.022	12.078	4	5	--	--	0.142	--
 743	0.676	0.069	0.007	12.084	4	4	1	12.266	0.445	12.711
 744	0.960	0.677	0.001	12.085	4	5	--	--	0.065	--
 745	0.346	0.802	0.018	12.103	4	5	--	--	0.037	--
 746	0.520	0.431	0.011	12.114	4	5	--	--	0.140	--
 747	0.343	0.480	0.018	12.131	4	5	--	--	0.122	--
 748	0.310	0.169	0.020	12.151	4	4	5	12.360	0.297	12.656
 749	0.192	0.174	0.027	12.178	4	4	4	12.447	0.292	12.738
 750	0.432	0.723	0.014	12.192	4	5	--	--	0.054	--
 751	0.856	0.546	0.003	12.195	4	5	--	--	0.101	--
 752	0.243	0.676	0.024	12.219	4	4	2	12.542	0.065	12.607
 753	0.342	0.961	0.018	12.236	4	4	2	12.607	0.007	12.614
 754	0.050	0.162	0.050	12.286	4	4	2	12.614	0.304	12.917
 755	0.056	0.642	0.048	12.334	4	5	--	--	0.074	--
 756	0.722	0.707	0.005	12.340	4	5	--	--	0.058	--
 757	0.933	0.240	0.001	12.341	4	5	--	--	0.238	--
 758	0.392	0.221	0.016	12.357	4	5	--	--	0.252	--
 759	0.091	0.749	0.040	12.396	4	4	5	12.656	0.048	12.705
 760	0.214	0.616	0.026	12.422	4	5	--	--	0.081	--
 761	0.340	0.555	0.018	12.440	4	5	--	--	0.098	--
 762	0.499	0.942	0.012	12.452	4	4	5	12.705	0.010	12.715
 763	0.853	0.216	0.003	12.454	4	5	--	--	0.255	--
 764	0.489	0.446	0.012	12.466	4	5	--	--	0.135	--
 765	0.419	0.018	0.015	12.481	4	5	--	--	0.667	--
 766	0.812	0.765	0.003	12.484	4	5	--	--	0.045	--
 767	0.481	0.887	0.012	12.497	4	5	--	--	0.020	--
 768	0.236	0.662	0.024	12.521	4	5	--	--	0.069	--
 769	0.271	0.731	0.022	12.542	4	4	1	12.711	0.052	12.763
 770	0.018	0.396	0.067	12.609	4	4	5	12.715	0.155	12.869
 771	0.452	0.134	0.013	12.622	4	4	4	12.738	0.335	13.074
 772	0.924	0.189	0.001	12.624	4	5	--	--	0.277	--
 773	0.293	0.302	0.020	12.644	4	5	--	--	0.199	--
 774	0.019	0.357	0.066	12.711	4	3	1	12.763	0.172	12.935
 775	0.288	0.818	0.021	12.731	4	2	5	12.869	0.034	12.903
 776	0.802	0.647	0.004	12.735	4	3	5	12.903	0.073	12.975
 777	0.797	0.763	0.004	12.739	4	3	2	12.917	0.045	12.962
 778	0.189	0.391	0.028	12.767	4	3	1	12.935	0.156	13.091
 779	0.413	0.715	0.015	12.781	4	4	2	12.962	0.056	13.018
 780	0.449	0.200	0.013	12.795	4	5	--	--	0.268	--
 781	0.994	0.637	0.000	12.795	4	5	--	--	0.075	--
 782	0.572	0.362	0.009	12.804	4	5	--	--	0.169	--
 783	0.195	0.433	0.027	12.831	4	5	--	--	0.139	--
 784	0.777	0.930	0.004	12.835	4	5	--	--	0.012	--
 785	0.597	0.463	0.009	12.844	4	5	--	--	0.128	--
 786	0.166	0.812	0.030	12.874	4	4	5	12.975	0.035	13.010
 787	0.699	0.360	0.006	12.880	4	5	--	--	0.170	--
 788	0.898	0.123	0.002	12.882	4	5	--	--	0.349	--
 789	0.856	0.546	0.003	12.884	4	5	--	--	0.101	--
 790	0.973	0.842	0.000	12.885	4	5	--	--	0.029	--
 791	0.183	0.660	0.028	12.913	4	4	5	13.010	0.069	13.079
 792	0.756	0.392	0.005	12.918	4	4	2	13.018	0.156	13.174
 793	0.278	0.214	0.021	12.939	4	4	4	13.074	0.257	13.330
 794	0.946	0.451	0.001	12.940	4	5	--	--	0.133	--
 795	0.870	0.868	0.002	12.942	4	5	--	--	0.024	--
 796	0.938	0.037	0.001	12.943	4	5	--	--	0.551	--
 797	0.830	0.374	0.003	12.946	4	5	--	--	0.164	--
 798	0.502	0.012	0.011	12.958	4	5	--	--	0.733	--
 799	0.031	0.091	0.058	13.016	4	2	5	13.079	0.399	13.478
 800	0.557	0.542	0.010	13.026	4	2	1	13.091	0.102	13.193
 801	0.907	0.631	0.002	13.027	4	3	2	13.174	0.077	13.251
 802	0.763	0.028	0.005	13.032	4	4	1	13.193	0.593	13.786
 803	0.898	0.374	0.002	13.034	4	5	--	--	0.164	--
 804	0.627	0.629	0.008	13.041	4	5	--	--	0.077	--
 805	0.831	0.765	0.003	13.044	4	5	--	--	0.045	--
 806	0.166	0.825	0.030	13.074	4	4	2	13.251	0.032	13.283
 807	0.451	0.236	0.013	13.088	4	4	2	13.283	0.241	13.524
 808	0.830	0.759	0.003	13.091	4	5	--	--	0.046	--
 809	0.178	0.845	0.029	13.120	4	4	4	13.330	0.028	13.358
 810	0.609	0.340	0.008	13.128	4	5	--	--	0.180	--
 811	0.609	0.921	0.008	13.136	4	5	--	--	0.014	--
 812	0.081	0.499	0.042	13.178	4	4	4	13.358	0.116	13.474
 813	0.711	0.755	0.006	13.184	4	5	--	--	0.047	--
 814	0.787	0.672	0.004	13.188	4	5	--	--	0.066	--
 815	0.840	0.402	0.003	13.191	4	5	--	--	0.152	--
 816	0.798	0.655	0.004	13.194	4	4	4	13.474	0.071	13.545
 817	0.189	0.417	0.028	13.222	4	5	--	--	0.146	--
 818	0.876	0.524	0.002	13.224	4	5	--	--	0.108	--
 819	0.750	0.646	0.005	13.229	4	5	--	--	0.073	--
 820	0.283	0.580	0.021	13.250	4	5	--	--	0.091	--
 821	0.856	0.498	0.003	13.253	4	4	5	13.478	0.116	13.595
 822	0.210	0.223	0.026	13.279	4	5	--	--	0.250	--
 823	0.655	0.199	0.007	13.286	4	4	2	13.524	0.269	13.794
 824	0.121	0.562	0.035	13.321	4	5	--	--	0.096	--
 825	0.859	0.869	0.003	13.324	4	5	--	--	0.023	--
 826	0.129	0.454	0.034	13.358	4	4	4	13.545	0.132	13.676
 827	0.680	0.599	0.006	13.364	4	4	5	13.595	0.085	13.680
 828	0.004	0.694	0.093	13.457	4	5	--	--	0.061	--
 829	0.411	0.611	0.015	13.472	4	5	--	--	0.082	--
 830	0.630	0.376	0.008	13.479	4	3	4	13.676	0.163	13.840
 831	0.422	0.666	0.014	13.494	4	4	5	13.680	0.068	13.748
 832	0.882	0.146	0.002	13.496	4	5	--	--	0.320	--
 833	0.957	0.844	0.001	13.497	4	5	--	--	0.028	--
 834	0.998	0.263	0.000	13.497	4	5	--	--	0.222	--
 835	0.687	0.186	0.006	13.503	4	5	--	--	0.281	--
 836	0.854	0.225	0.003	13.505	4	5	--	--	0.248	--
 837	0.126	0.151	0.035	13.540	4	4	5	13.748	0.315	14.063
 838	0.053	0.345	0.049	13.589	4	4	1	13.786	0.177	13.964
 839	0.363	0.028	0.017	13.606	4	4	2	13.794	0.597	14.390
 840	0.700	0.148	0.006	13.612	4	5	--	--	0.319	--
 841	0.767	0.897	0.004	13.616	4	5	--	--	0.018	--
 842	0.196	0.985	0.027	13.643	4	5	--	--	0.003	--
 843	0.928	0.230	0.001	13.645	4	5	--	--	0.245	--
 844	0.460	0.921	0.013	13.658	4	5	--	--	0.014	--
 845	0.827	0.207	0.003	13.661	4	5	--	--	0.262	--
 846	0.876	0.864	0.002	13.663	4	5	--	--	0.024	--
 847	0.650	0.070	0.007	13.670	4	5	--	--	0.442	--
 848	0.972	0.241	0.000	13.671	4	5	--	--	0.237	--
 849	0.372	0.897	0.016	13.687	4	3	4	13.840	0.018	13.858
 850	0.668	0.324	0.007	13.694	4	4	4	13.858	0.188	14.046
 851	0.995	0.670	0.000	13.694	4	5	--	--	0.067	--
 852	0.766	0.817	0.004	13.698	4	5	--	--	0.034	--
 853	0.518	0.127	0.011	13.709	4	5	--	--	0.344	--
 854	0.594	0.519	0.009	13.718	4	5	--	--	0.109	--
 855	0.282	0.148	0.021	13.739	4	5	--	--	0.318	--
 856	0.232	0.024	0.024	13.763	4	4	1	13.964	0.624	14.587
 857	0.564	0.068	0.010	13.773	4	5	--	--	0.447	--
 858	0.857	0.549	0.003	13.776	4	5	--	--	0.100	--
 859	0.110	0.870	0.037	13.812	4	3	4	14.046	0.023	14.069
 860	0.456	0.290	0.013	13.826	4	4	5	14.063	0.206	14.269
 861	0.099	0.363	0.039	13.864	4	3	4	14.069	0.169	14.238
 862	0.635	0.207	0.008	13.872	4	4	4	14.238	0.263	14.501
 863	0.593	0.810	0.009	13.880	4	5	--	--	0.035	--
 864	0.641	0.132	0.007	13.888	4	5	--	--	0.337	--
 865	0.376	0.648	0.016	13.904	4	5	--	--	0.072	--
 866	0.101	0.517	0.038	13.942	4	5	--	--	0.110	--
 867	0.936	0.566	0.001	13.943	4	5	--	--	0.095	--
 868	0.510	0.233	0.011	13.955	4	5	--	--	0.243	--
 869	0.716	0.945	0.006	13.960	4	5	--	--	0.009	--
 870	0.314	0.715	0.019	13.980	4	4	5	14.269	0.056	14.325
 871	0.377	0.056	0.016	13.996	4	5	--	--	0.479	--
 872	0.602	0.478	0.008	14.004	4	5	--	--	0.123	--
 873	0.247	0.172	0.023	14.028	4	5	--	--	0.294	--
 874	0.149	0.813	0.032	14.059	4	4	5	14.325	0.035	14.359
 875	0.025	0.429	0.061	14.121	4	3	5	14.359	0.141	14.500
 876	0.874	0.354	0.002	14.123	4	4	2	14.390	0.173	14.563
 877	0.735	0.580	0.005	14.128	4	5	--	--	0.091	--
 878	0.914	0.430	0.002	14.129	4	5	--	--	0.141	--
 879	0.643	0.215	0.007	14.137	4	5	--	--	0.256	--
 880	0.495	0.612	0.012	14.149	4	5	--	--	0.082	--
 881	0.806	0.383	0.004	14.152	4	5	--	--	0.160	--
 882	0.810	0.019	0.004	14.156	4	5	--	--	0.659	--
 883	0.878	0.258	0.002	14.158	4	5	--	--	0.226	--
 884	0.265	0.605	0.022	14.180	4	5	--	--	0.084	--
 885	0.336	0.371	0.018	14.198	4	5	--	--	0.165	--
 886	0.897	0.169	0.002	14.200	4	5	--	--	0.297	--
 887	0.997	0.448	0.000	14.200	4	5	--	--	0.134	--
 888	0.543	0.209	0.010	14.210	4	5	--	--	0.261	--
 889	0.280	0.771	0.021	14.231	4	5	--	--	0.043	--
 890	0.718	0.114	0.006	14.237	4	5	--	--	0.361	--
 891	0.641	0.796	0.007	14.244	4	4	5	14.500	0.038	14.538
 892	0.097	0.729	0.039	14.283	4	4	4	14.501	0.053	14.553
 893	0.738	0.167	0.005	14.288	4	5	--	--	0.298	--
 894	0.234	0.137	0.024	14.312	4	5	--	--	0.331	--
 895	0.640	0.876	0.007	14.320	4	5	--	--	0.022	--
 896	0.797	0.689	0.004	14.324	4	5	--	--	0.062	--
 897	0.529	0.727	0.011	14.334	4	4	5	14.538	0.053	14.592
 898	0.231	0.989	0.024	14.359	4	5	--	--	0.002	--
 899	0.417	0.170	0.015	14.373	4	4	4	14.553	0.295	14.848
 900	0.528	0.939	0.011	14.384	4	5	--	--	0.010	--
 901	0.048	0.537	0.051	14.435	4	4	2	14.563	0.103	14.667
 902	0.860	0.011	0.003	14.437	4	5	--	--	0.756	--
 903	0.002	0.339	0.100	14.537	4	3	1	14.587	0.180	14.768
 904	0.256	0.947	0.023	14.560	4	2	5	14.592	0.009	14.601
 905	0.709	0.331	0.006	14.566	4	2	5	14.601	0.184	14.785
 906	0.448	0.093	0.013	14.579	4	3	2	14.667	0.397	15.063
 907	0.212	0.962	0.026	14.605	4	1	1	14.768	0.006	14.774
 908	0.638	0.719	0.007	14.612	4	2	1	14.774	0.055	14.829
 909	0.731	0.365	0.005	14.617	4	3	5	14.785	0.168	14.953
 910	0.260	0.141	0.022	14.640	4	4	1	14.829	0.327	15.156
 911	0.995	0.768	0.000	14.640	4	5	--	--	0.044	--
 912	0.095	0.222	0.039	14.679	4	4	4	14.848	0.251	15.099
 913	0.558	0.764	0.010	14.689	4	5	--	--	0.045	--
 914	0.352	0.200	0.017	14.706	4	5	--	--	0.268	--
 915	0.500	0.893	0.012	14.718	4	5	--	--	0.019	--
 916	0.732	0.745	0.005	14.723	4	5	--	--	0.049	--
 917	0.707	0.073	0.006	14.729	4	5	--	--	0.435	--
 918	0.173	0.888	0.029	14.758	4	5	--	--	0.020	--
 919	0.888	0.194	0.002	14.760	4	5	--	--	0.273	--
 920	0.039	0.081	0.054	14.814	4	2	5	14.953	0.419	15.372
 921	0.299	0.340	0.020	14.834	4	2	2	15.063	0.180	15.243
 922	0.083	0.309	0.041	14.876	4	2	4	15.099	0.196	15.295
 923	0.412	0.148	0.015	14.890	4	3	1	15.156	0.318	15.474
 924	0.761	0.944	0.005	14.895	4	4	2	15.243	0.010	15.253
 925	0.078	0.471	0.042	14.937	4	5	--	--	0.126	--
 926	0.426	0.080	0.014	14.952	4	5	--	--	0.420	--
 927	0.816	0.375	0.003	14.955	4	4	2	15.253	0.163	15.416
 928	0.844	0.537	0.003	14.958	4	5	--	--	0.104	--
 929	0.185	0.169	0.028	14.986	4	5	--	--	0.296	--
 930	0.331	0.659	0.018	15.004	4	5	--	--	0.070	--
 931	0.556	0.309	0.010	15.014	4	5	--	--	0.196	--
 932	0.876	0.660	0.002	15.016	4	5	--	--	0.069	--
 933	0.473	0.226	0.012	15.029	4	5	--	--	0.248	--
 934	0.888	0.592	0.002	15.031	4	5	--	--	0.087	--
 935	0.907	0.050	0.002	15.033	4	5	--	--	0.500	--
 936	0.912	0.282	0.002	15.034	4	5	--	--	0.211	--
 937	0.650	0.440	0.007	15.041	4	5	--	--	0.137	--
 938	0.854	0.874	0.003	15.044	4	5	--	--	0.022	--
 939	0.455	0.928	0.013	15.057	4	5	--	--	0.012	--
 940	0.104	0.964	0.038	15.095	4	4	4	15.295	0.006	15.301
 941	0.017	0.963	0.068	15.162	4	3	4	15.301	0.006	15.308
 942	0.555	0.052	0.010	15.172	4	4	4	15.308	0.493	15.800
 943	0.034	0.817	0.056	15.228	4	5	--	--	0.034	--
 944	0.031	0.057	0.058	15.286	4	3	5	15.372	0.478	15.850
 945	0.100	0.331	0.038	15.324	4	1	2	15.416	0.184	15.601
 946	0.126	0.236	0.035	15.359	4	2	1	15.474	0.241	15.715
 947	0.616	0.715	0.008	15.367	4	3	2	15.601	0.056	15.657
 948	0.147	0.072	0.032	15.399	4	3	2	15.657	0.438	16.094
 949	0.937	0.985	0.001	15.400	4	4	1	15.715	0.002	15.718
 950	0.758	0.678	0.005	15.405	4	5	--	--	0.065	--
 951	0.198	0.639	0.027	15.432	4	4	1	15.718	0.075	15.792
 952	0.238	0.132	0.024	15.456	4	5	--	--	0.338	--
 953	0.323	0.546	0.019	15.474	4	5	--	--	0.101	--
 954	0.103	0.073	0.038	15.512	4	4	1	15.792	0.436	16.228
 955	0.220	0.355	0.025	15.537	4	5	--	--	0.173	--
 956	0.310	0.902	0.020	15.557	4	5	--	--	0.017	--
 957	0.777	0.625	0.004	15.561	4	5	--	--	0.078	--
 958	0.491	0.231	0.012	15.573	4	5	--	--	0.244	--
 959	0.528	0.973	0.011	15.584	4	5	--	--	0.005	--
 960	0.805	0.926	0.004	15.587	4	5	--	--	0.013	--
 961	0.520	0.473	0.011	15.598	4	5	--	--	0.125	--
 962	0.120	0.287	0.035	15.633	4	4	4	15.800	0.208	16.009
 963	0.439	0.949	0.014	15.647	4	5	--	--	0.009	--
 964	0.549	0.746	0.010	15.657	4	4	5	15.850	0.049	15.899
 965	0.248	0.213	0.023	15.680	4	5	--	--	0.258	--
 966	0.872	0.098	0.002	15.683	4	5	--	--	0.388	--
 967	0.912	0.519	0.002	15.684	4	5	--	--	0.109	--
 968	0.353	0.743	0.017	15.701	4	5	--	--	0.050	--
 969	0.970	0.973	0.001	15.702	4	5	--	--	0.005	--
 970	0.909	0.989	0.002	15.704	4	5	--	--	0.002	--
 971	0.378	0.084	0.016	15.720	4	3	5	15.899	0.413	16.312
 972	0.650	0.072	0.007	15.727	4	4	4	16.009	0.438	16.447
 973	0.705	0.676	0.006	15.733	4	5	--	--	0.065	--
 974	0.720	0.498	0.005	15.738	4	5	--	--	0.116	--
 975	0.249	0.606	0.023	15.761	4	5	--	--	0.083	--
 976	0.094	0.633	0.039	15.801	4	3	2	16.094	0.076	16.171
 977	0.312	0.784	0.019	15.820	4	4	2	16.171	0.041	16.211
 978	0.745	0.278	0.005	15.825	4	5	--	--	0.213	--
 979	0.639	0.517	0.007	15.833	4	5	--	--	0.110	--
 980	0.524	0.450	0.011	15.843	4	5	--	--	0.133	--
 981	0.237	0.763	0.024	15.867	4	4	2	16.211	0.045	16.256
 982	0.268	0.818	0.022	15.889	4	5	--	--	0.033	--
 983	0.330	0.191	0.018	15.908	4	4	1	16.228	0.276	16.504
 984	0.188	0.386	0.028	15.936	4	5	--	--	0.158	--
 985	0.456	0.563	0.013	15.949	4	5	--	--	0.096	--
 986	0.712	0.129	0.006	15.954	4	5	--	--	0.341	--
 987	0.515	0.500	0.011	15.966	4	5	--	--	0.115	--
 988	0.642	0.601	0.007	15.973	4	5	--	--	0.085	--
 989	0.395	0.889	0.015	15.988	4	5	--	--	0.020	--
 990	0.993	0.065	0.000	15.989	4	5	--	--	0.456	--
 991	0.343	0.491	0.018	16.006	4	5	--	--	0.119	--
 992	0.237	0.639	0.024	16.030	4	4	2	16.256	0.075	16.331
 993	0.118	0.540	0.036	16.066	4	5	--	--	0.103	--
